37.454,95.071
73.199,59.866
15.602,15.599
5.808,86.618
60.112,70.807
2.058,96.991
83.244,21.234
18.182,18.340
30.424,52.476
43.195,29.123
61.185,13.949
29.214,36.636
45.607,78.518
19.967,51.423
59.241,4.645
60.754,17.052
6.505,94.889
96.563,80.840
30.461,9.767
68.423,44.015
12.204,49.518
3.439,90.932
25.878,66.252
31.171,52.007
54.671,18.485
96.958,77.513
93.950,89.483
59.790,92.187
8.849,19.598
4.523,32.533
38.868,27.135
82.874,35.675
28.093,54.270
14.092,80.220
7.455,98.689
77.224,19.872
0.552,81.546
70.686,72.901
77.127,7.404
35.847,11.587
86.310,62.330
33.090,6.356
31.098,32.518
72.961,63.756
88.721,47.221
11.959,71.324
76.079,56.128
77.097,49.380
52.273,42.754
2.542,10.789
3.143,63.641
31.436,50.857
90.757,24.929
41.038,75.555
22.880,7.698
28.975,16.122
92.970,80.812
63.340,87.146
80.367,18.657
89.256,53.934
80.744,89.609
31.800,11.005
22.794,42.711
81.801,86.073
0.695,51.075
41.741,22.211
11.987,33.762
94.291,32.320
51.879,70.302
36.363,97.178
96.245,25.178
49.725,30.088
28.484,3.689
60.956,50.268
5.148,27.865
90.827,23.956
14.489,48.945
98.565,24.206
67.214,76.162
23.764,72.822
36.778,63.231
63.353,53.577
9.029,83.530
32.078,18.652
4.078,59.089
67.756,1.659
51.209,22.650
64.517,17.437
69.094,38.674
93.673,13.752
34.107,11.347
92.469,87.734
25.794,65.998
81.722,55.520
52.965,24.185
9.310,89.722
90.042,63.310
33.903,34.921
72.596,89.711
88.709,77.988
64.203,8.414
16.163,89.855
60.643,0.920
10.147,66.350
0.506,16.081
54.873,69.190
65.196,22.427
71.218,23.725
32.540,74.649
64.963,84.922
65.761,56.831
9.367,36.772
26.520,24.399
97.301,39.310
89.205,63.114
79.481,50.264
57.690,49.252
19.524,72.245
28.077,2.432
64.547,17.711
94.046,95.393
91.486,37.016
1.546,92.832
42.818,96.665
96.362,85.301
29.445,38.510
85.114,31.692
16.949,55.680
93.615,69.603
57.006,9.718
61.501,99.005
14.008,51.833
87.737,74.077
69.702,70.248
35.949,29.359
80.936,81.011
86.707,91.324
51.134,50.152
79.830,64.996
70.197,79.579
89.001,33.800
37.558,9.398
57.828,3.594
46.560,54.264
28.654,59.083
3.050,3.735
82.260,36.019
12.706,52.224
76.999,21.582
62.289,8.535
5.168,53.135
54.064,63.743
72.609,97.585
51.630,32.296
79.519,27.083
43.897,7.846
2.535,96.265
83.598,69.597
40.895,17.329
15.644,25.024
54.923,71.460
66.020,27.993
95.487,73.790
55.435,61.172
41.960,24.773
35.597,75.785
1.439,11.607
4.600,4.073
85.546,70.366
47.417,9.783
49.162,47.347
17.320,43.385
39.850,61.585
63.509,4.530
37.461,62.586
50.314,85.649
65.869,16.293
7.057,64.242
2.651,58.578
94.023,57.547
38.817,64.329
45.825,54.562
94.146,38.610
96.119,90.535
19.579,6.936
10.078,1.822
9.444,68.301
7.119,31.898
84.488,2.327
81.447,28.185
11.816,69.674
62.894,87.747
73.507,80.348
28.203,17.744
75.061,80.683
99.051,41.262
37.202,77.641
34.080,93.076
85.841,42.899
75.087,75.454
